codigo_nacional_farmaco_cd,codigo_descripcion,atc_farmaco_dispensado_cd,ddd_nomenclator_nm,ddd_por_envase,pvp_nomenclator_nm,precio_por_envase_nm
602414,SERTRALINA CURAXYS 100MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,1000,175.23,175.23
603241,SERTRALINA VIATRIS 100MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,1000,125.87,125.87
600764,SERTRALINA LAREQ 50MG 500 COMPRIMIDOS RECUBIERTOS PELIC EFG,N06AB06,50,500,87.62,87.62
606723,DEPESERT 100MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB06,50,1000,343.38,343.38
606533,DEPESERT 50MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB06,50,500,230.44,230.44
607986,SERSEITRAN 100MG 500 COMPRMIDOS RECUBIERTOS PELICULA,N06AB06,50,1000,343.38,343.38
607796,SERSEITRAN 50MG 500 COMPRMIDOS RECUBIERTOS PELICULA,N06AB06,50,500,230.44,230.44
704663,FLUOXETINA AUROBINDO 20MG 14 CAPSULAS DURAS EFG,N06AB03,20,14,2.5,2.5
731208,PAROXETINA MUNDOGEN 20MG 56 COMPRIMIDOS RECUBIERT PELIC EFG,N06AB05,20,56,12.18,12.18
754986,PAROXETINA MUNDOGEN 20MG 28 COMPRIMIDOS RECUBIERT PELIC EFG,N06AB05,20,28,6.09,6.09
693269,VENLAFAXINA BLUEPHARMA 150MG 1 CAPSULA LIBER PROLON 1 ENV UNIDOSIS EFG,N06AX16,100,1.5,0.64,0.64
703451,ESCITALOPRAM BLUEFISH 10MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,28,8.76,8.76
703453,ESCITALOPRAM BLUEFISH 15MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,42,13.13,13.13
703455,ESCITALOPRAM BLUEFISH 15MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,84,26.27,26.27
703456,ESCITALOPRAM BLUEFISH 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,56,17.52,17.52
703457,ESCITALOPRAM BLUEFISH 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,112,35.03,35.03
637751,SERTRALINA CUVE 100MG 500 COMPRIMIDOS RECUBIERTOS PELIC EFG,N06AB06,50,1000,125.87,125.87
637744,SERTRALINA CUVE 50MG 500 COMPRIMIDOS RECUBIERTOS PELICUL EFG,N06AB06,50,500,62.94,62.94
636274,SERTRALINA SANDOZ 100MG 500 COMPRIMIDOS RECUBIERT PELIC EFG,N06AB06,50,1000,125.87,125.87
636258,SERTRALINA SANDOZ 50MG 500 COMPRIMIDOS RECUBIERTOS PELIC EFG,N06AB06,50,500,62.94,62.94
610568,SERTRALINA GENERICS 100MG 500 COMPRIMIDOS RECUB PELICULA,N06AB06,50,1000,343.38,343.38
612663,SERTRALINA QUALIGEN FARMA 50MG 500 COMPRIMIDOS RECUBIERTOS PELICUL EFG,N06AB06,50,500,62.94,62.94
635359,SERTRALINA VIR PHARMA 100MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,1000,125.87,125.87
642066,SERTRALINA QUALIGEN FARMA 100MG 500 COMPRIMIDOS RECUBIERTOS PELIC EFG,N06AB06,50,1000,125.87,125.87
635987,SERTRALINA NORMON 50MG 500 COMPRIMIDOS RECUB PELICULA EFG,N06AB06,50,500,62.94,62.94
606202,SERTRALIX 50MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB06,50,500,230.44,230.44
647503,SERTRALINA TARBIS 100MG 500 COMPRIMIDOS RECUBIERT PELIC EFG,N06AB06,50,1000,125.87,125.87
